,stat,p
Modelo,84.77192523552051,1.6870091902450846e-50
Sensor,43.130441979164125,6.447043493421842e-19
Config,64.68946113276675,1.8163287236471823e-15
NumClases,64.81764967154744,1.7067074954576558e-15
